2," ","Default Category"
542," ",-,"Blinds and Shutters"
542," ","Blinds and Shutters"
543," ",-,"Roof, Skylight &  Loft Blinds"
870," ",-,"Next Day Blinds"
678," ",-,"Flat Roof Blinds"
1072," ",-,"Sun Tunnel Blinds"
1073," ",-,"Blackout Blinds"
641," ",-,"VALE Accessories"
798," ",-,"Childrens Blinds"
667," ",-,"Eco Bloc Thermal Blinds"
549," ",-,"Wooden Venetian Blinds"
646," ",-,"Metal Venetian Blinds"
897," ",-,"Remote Control Blinds"
882," ",-,"XL Roller Blinds"
864," ",-,"Facette® Blinds"
565," ",-,"Vertical Blinds"
836," ",-,"Roman Blinds"
552," ",-,"Silhouette® / Tri-Shade Blinds"
856," ",-,"Plisse / Pleated Blinds"
693," ",-,"Duette® / Honeycomb Blinds"
633," ",-,"Twist / Multishade Blinds"
617," ",-,"Luxaflex® Awnings"
814," ",-,"INTU / SimpleFit Blinds"
1074," ",-,Parasols/Umbrellas
625," ",-,"Pinoleum Woven Wood Blinds"
1075," ",-,"Conservatory Blinds"
643," ",-,"Roller Blinds"
1076," ",-,"Vale Special Offers"
1060," ",-,"Roto Roof Windows and Flashing"
543," ","Roof, Skylight &  Loft Blinds"
544," ",-,"VALE for VELUX®"
557," ",-,"Genuine VELUX®"
583," ",-,"VALE for Fakro"
571," ",-,"Genuine Fakro"
620," ",-,"VALE for Colt Roto"
967," ",-,"Genuine Roto"
585," ",-,"Vale for Keylite"
609," ",-,"Genuine Keylite"
655," ",-,"Vale for RoofLITE"
606," ",-,"Genuine RoofLITE"
657," ",-,"Vale for Dakstra"
587," ",-,"Genuine Dakstra"
812," ",-,"Vale for Balio"
739," ",-,"Vale for Tyrem"
737," ",-,"Vale for Duratech"
611," ",-,"Vale for Okpol"
615," ",-,"Genuine Okpol"
589," ",-,"Vale for Skyview"
591," ",-,"Vale for Jeld Wen"
593," ",-,"Vale for Boulton and Paul"
544," ","VALE for VELUX®"
654," ",-,"VALE for VELUX® Accessories"
549," ","Wooden Venetian Blinds"
550," ",-,"Luxaflex® Wooden Venetian Blinds"
636," ",-,"Vale Wooden Venetian Blinds"
651," ",-,"Decora Wooden Venetian Blinds"
552," ","Silhouette® / Tri-Shade Blinds"
553," ",-,"Luxaflex® Silhouette® Blinds"
956," ",-,"Vale Tri-Shade Blinds"
557," ","Genuine VELUX®"
563," ",-,"VELUX® Accessories"
565," ","Vertical Blinds"
566," ",-,"Luxaflex® Vertical Blinds"
681," ",-,"Vale Vertical Blinds"
699," ",-,"Luxaflex® Home Collection Vertical Blinds"
720," ",-,"Decora Vertical Blinds"
566," ","Luxaflex® Vertical Blinds"
567," ",-,Aluminium
754," ",-,"Transparent and Semi Transparent"
763," ",-,Opaque
772," ",-,Blackout
775," ",-,PVC
790," ",-,Project
571," ","Genuine Fakro"
605," ",-,"Fakro Accessories"
583," ","VALE for Fakro"
1057," ",-,"VALE for Fakro Accessories"
585," ","Vale for Keylite"
1058," ",-,"Vale for Keylite Accessories"
589," ","Vale for Skyview"
1068," ",-,"Vale for Skyview Accessories"
591," ","Vale for Jeld Wen"
1069," ",-,"Vale for Jeld Wen Accessories"
593," ","Vale for Boulton and Paul"
1070," ",-,"Vale for Boulton &amp; Paul Accessories"
609," ","Genuine Keylite"
610," ",-,"Keylite Accessories"
611," ","Vale for Okpol"
1066," ",-,"Vale for Okpol Accessories"
615," ","Genuine Okpol"
1081," ",-,"Okpol Accessories"
620," ","VALE for Colt Roto"
1061," ",-,"Vale for Colt Roto Accessories"
633," ","Twist / Multishade Blinds"
634," ",-,"Vale Multishade / Duorol Blinds"
685," ",-,"Luxaflex® Twist Roller Blinds"
712," ",-,"Luxaflex® Home Collection Multishade Blinds"
643," ","Roller Blinds"
644," ",-,"Vale Roller Blinds"
718," ",-,"Decora Roller Blinds"
725," ",-,"Luxaflex® Roller Blinds"
823," ",-,"Sunway Roller Blinds"
646," ","Metal Venetian Blinds"
647," ",-,"Decora Metal Venetian Blinds"
691," ",-,"Luxaflex® Home Collection Metal Venetian Blinds"
731," ",-,"Luxaflex® Metal Venetian Blinds"
655," ","Vale for RoofLITE"
1063," ",-,"VALE for RoofLITE Accessories"
657," ","Vale for Dakstra"
1062," ",-,"VALE for Dakstra Accessories"
693," ","Duette® / Honeycomb Blinds"
694," ",-,Vale
844," ",-,Luxaflex®
1002," ",-,"Luxaflex® Essentials Range"
731," ","Luxaflex® Metal Venetian Blinds"
910," ",-,"16mm Slat"
733," ",-,"50mm Slat"
735," ",-,Varioflex
917," ",-,"25mm Slat"
925," ",-,"25mm LiteRise Slat"
938," ",-,Megaview
737," ","Vale for Duratech"
1067," ",-,"Vale for Duratech Accessories"
739," ","Vale for Tyrem"
1064," ",-,"Vale for Tyrem Accessories"
798," ","Childrens Blinds"
799," ",-,"Childrens Skylight Blinds"
1082," ",-,"Childrens Blackout Blinds for Standard Windows "
1083," ",-,"Childrens Eco Bloc Blackout Blinds"
812," ","Vale for Balio"
1065," ",-,"Vale for Balio Accessories"
814," ","INTU / SimpleFit Blinds"
815," ",-,"INTU from Vale"
1034," ",-,"Luxaflex SimpleFit"
836," ","Roman Blinds"
837," ",-,"Luxaflex® Home Collection Roman Blinds"
1006," ",-,"Vale Roman Blinds"
844," ",Luxaflex®
848," ",-,"Architella Duette"
852," ",-,"Blackout Duette"
862," ",-,"Day & Night Duette"
931," ",-,"Fire Retardant Duette"
856," ","Plisse / Pleated Blinds"
857," ",-,Luxaflex®
998," ",-,"Luxaflex® Essentials Range"
870," ","Next Day Blinds"
972," ",-,"Next Day Roof/Skylight/Loft Blinds"
872," ",-,"Next Day Express Wooden Venetian Blinds"
1071," ",-,"Next Day Decora Roller Blinds"
897," ","Remote Control Blinds"
898," ",-,"Vale Remote Control Blinds"
901," ",-,"Sunway SimpleRaise Remote Blinds"
1052," ",-,"Decora Motorised Wooden Venetian Blinds"
925," ","25mm LiteRise Slat"
926," ",-,"LiteRise White and Ecru"
1074," ",Parasols/Umbrellas
1077," ",-,"Side Post Parasol"
1078," ",-,"Centre Post Parasols"
1076," ","Vale Special Offers"
1079," ",-,"Genuine VELUX Blinds Special Offers from £35.00"
1080," ",-,"Standard Blind Special Offers"
